,coin,time,addresses_active_count,addresses_new_non_zero_count,addresses_count,addresses_receiving_count,addresses_sending_count,transactions_transfers_volume_sum,mining_hash_rate_mean,mining_difficulty_latest
219,ETH,1505433600,204789,59190,6403982,158783,112404,17615507.3567775,98985772533790.4,2400338679961340.0
220,ETH,1515542400,642920,285524,18077828,536888,338718,17355909.4739177,125578286642515.0,2041988068307180.0
221,ETH,1525392000,636842,78900,29581414,267256,444027,2547802.01897247,208622622955548.0,3212984695145780.0
222,ETH,1551916800,225519,42858,45771144,136431,101003,2122936.44905451,141906114723223.0,1918670719737230.0
223,ETH,1591747200,347005,91643,75729256,197442,141346,1852995.94752194,167893464173007.0,2264283136271060.0
224,ETH,1608940800,406535,99780,95101476,222389,182719,1956575.2987261,278222562147225.0,3718988863585640.0
225,ETH,1620172800,690705,175536,114446953,387011,337512,3607844.89225382,557442295769236.0,7562209523895140.0
226,ETH,1624060800,427889,78297,120354487,213148,212816,1176247.52417295,533541818796997.0,7110888020248600.0
227,ETH,1474588800,17889,1618,504512,16456,8676,2000207.96629531,5236510593201.15,76380505725174.0
228,ETH,1482192000,16558,2115,699342,15473,7406,1392213.35072723,6354926566033.74,89222229524611.0
229,ETH,1484092800,16114,2078,753229,14952,8866,4615551.14511629,6935249860458.46,98625649273081.0
230,ETH,1534896000,292932,49083,37453208,170004,102268,1735422.58385191,246229995974928.0,3520215830505980.0
231,ETH,1595548800,391600,101345,80014244,237768,184941,3042305.53767584,184427990290076.0,2512224325283250.0
232,ETH,1619136000,650132,197881,112457872,406872,324033,4386877.0738012,514518693662683.0,6934058232165660.0
233,ETH,1622246400,589671,133153,118256666,327714,286834,3477389.34048282,567215874270967.0,7726060195358850.0
234,ETH,1503100800,167049,42870,5050932,130377,78146,11749401.1427205,87534806045802.0,1810352095914420.0
235,ETH,1517011200,400533,126695,21424110,298307,221140,6416871.41922353,172635153540811.0,2458876272587130.0
236,ETH,1560988800,284443,70965,52964281,177743,118027,2339758.52100896,150226166761551.0,2086912553260220.0
237,ETH,1567900800,264024,49114,57975548,145185,84576,1548967.01950848,169203201222624.0,2271414256324970.0
238,ETH,1584835200,294502,81450,68952245,151648,88297,1733288.25663502,157387346822826.0,2157488012513760.0
239,ETH,1589414400,296751,86577,73089539,188737,127151,2257181.61042839,170479379853294.0,2299235384914950.0
240,ETH,1607212800,375365,79214,92827972,182157,176319,1535323.17623517,275357341013417.0,3633568100117330.0
241,ETH,1624665600,0,0,120870431,0,0,,,
242,ETH,1445644800,1635,357,24658,1520,856,99853.5886267465,376232538750.55,6400016435480.0
243,ETH,1552262400,206611,40692,45940709,129618,88399,2468746.53223933,139196581807406.0,1860880782241880.0
244,ETH,1580083200,184006,41319,65888323,101686,75960,1079732.37624487,157392365815777.0,2089684524108920.0
245,ETH,1586995200,281971,75918,70571993,158596,120847,2726362.22263752,169921080010606.0,2239075617950730.0
246,ETH,1589760000,317913,92562,73442090,194110,130047,2098206.34831053,168356422746649.0,2288696297135010.0
247,ETH,1611014400,512059,137172,98154351,304222,254559,5429715.63305107,316594082674406.0,4271111937846750.0
248,ETH,1448064000,1710,77,30471,1585,1082,134094.469887511,442803104517.93,7608935745293.0
249,ETH,1464220800,24287,2608,222894,16094,14965,1273153.13031181,2921978133177.15,41788476400851.0
250,ETH,1483056000,15501,2163,725500,13826,7504,3278497.13870235,5540667879261.38,80724168878092.0
251,ETH,1484956800,16126,2289,775826,14945,8005,945879.118966662,7576557893440.31,107245179286637.0
252,ETH,1533686400,269653,54588,36694309,189302,144148,2058751.86995838,247545151637376.0,3630131991107860.0
253,ETH,1538524800,254293,40399,39247966,148711,91691,1598390.92511014,226752234914869.0,3296623159441600.0
